LOCAL_IDENTIFIER,CORRUCYSTIC_DENSITY
0,90.91203739478338
1,55.158823471388324
2,100.34126584741867
3,179.1685549421762
4,103.74772175607336
5,82.76554146927491
6,434.79719515139834
7,341.27450916328894
8,147.00434843509342
9,200.53847863865414
10,82.76282476089143
11,88.97364192838825
12,411.8710138190852
13,194.41753131284725
14,91.46194528269899
15,58.53515672327177
16,217.814221007621
17,199.75156805786932
18,390.75226437224705
19,112.64498892676667
20,86.75598044613183
21,38.36278155764613
22,102.88206681402993
23,462.6228682765663
24,166.75960062129036
25,116.83081618365806
26,353.34210621909415
27,241.82694051697226
28,90.68004075019606
29,57.50647027936957
30,146.01870448131336
31,132.4525081552199
32,100.01987953929012
33,231.72850232821088
34,175.89175739305614
35,123.26394772581102
36,253.86281345698953
37,133.9984172644196
38,73.80542684592331
39,136.8199061043196
40,-38.535524449999464
41,51.76043573199681
42,406.2101338857697
43,209.8963567097802
44,33.69410883335301
45,259.3942858291557
46,153.37389031048488
47,91.99118714109106
48,99.00653227180729
49,298.0789886037241
50,3.461635192373885
51,56.70398536864478
52,202.8849013379685
53,186.779985974204
54,-12.500610898218925
55,143.7523725397389
56,138.79623256630745
57,218.54810499334096
58,62.34899329083536
59,339.3053639261268
60,61.83443131019466
61,65.81662056835803
62,172.71681998012247
63,111.24606482196339
64,134.49882616221865
65,50.178988598879386
66,318.6697135278186
67,-14.40064358367711
68,175.48304906407938
69,289.0571976324313
70,106.490964202327
71,207.67221723416927
72,305.3888818516902
73,414.92811393021367
74,124.1990455620758
75,136.27660985840836
76,201.06922745523394
77,69.76062076307792
78,133.11305544620345
79,79.50116923038325
80,221.98072127780156
81,65.39205370981195
82,15.284395095745566
83,75.9830121418957
84,57.13293956837924
85,83.69576473146303
86,59.99472395904609
87,148.173148806574
88,7.857340521823963
89,123.10795861139292
90,98.17429432155018
91,112.83499764531851
92,2.9751445506350507
93,83.20862061522763
94,93.61715840243937
95,178.79805869048144
96,94.69870379496552
97,248.4954709027244
98,92.88397204708357
99,136.17554668312363
100,-19.250003246149713
101,399.3451895174131
102,178.85320417373038
103,198.52998215258282
104,85.40598547263683
105,222.66228829084486
106,5.284153620285808
107,-18.41782134808067
108,66.69408809575994
109,198.0357179306949
110,169.2195232584005
111,108.09179446152918
112,9.644662727519778
113,43.95881181044766
114,114.12126313318771
115,164.95925417830134
116,229.43020436634293
117,164.3699807810064
118,39.03094914719033
119,222.5205986865022
120,149.14931763152566
121,17.715825492655586
122,283.0854267993367
123,168.91031983264944
124,53.77878107627453
125,26.230918487277517
126,199.40402776090127
127,9.742258231988862
128,266.0740099676444
129,-26.015472201200136
130,399.40583023933164
131,-3.080071976383436
132,203.33763344431406
133,269.3027451240027
134,304.9649487860571
135,214.93108933973443
136,244.32056796948066
137,211.7213941823339
138,-92.12271496512184
139,108.05453997341702
140,44.32861758270734
141,146.2493868821001
142,64.57613785634875
143,151.44414725399335
144,-14.482904819131504
145,118.34911516829156
146,151.0230077163724
147,127.67410268062143
148,464.06835473184526
149,623.8653410694166
150,33.996347707793944
151,105.64294897949232
152,-4.586605080523428
153,33.87255372872193
154,168.60460633091338
155,248.1296357328014
156,-3.202923701302818
157,153.60643000734058
158,74.97881363393013
159,129.18000072894134
160,23.201569414664487
161,109.07576742872904
162,55.209248790184006
163,78.71971510932953
164,51.90324724674349
165,87.22162758030834
166,116.45021863066309
167,294.7237000929999
168,-4.785041003715601
169,175.83568335299321
170,168.76499130067776
171,227.57777891337327
172,79.41677806144772
173,383.6794430109122
174,377.6663167376034
175,82.299316187579
176,89.05177885803747
177,183.64587376539552
178,87.83304807939294
179,101.83950608406134
