LOCAL_IDENTIFIER,CORRUCYSTIC_DENSITY
0,115.621728835584
1,643.2067742391513
2,703.0764958812614
3,543.4776635855965
4,637.6725450705981
5,612.3437931898826
6,507.89776784806907
7,544.7920684438667
8,188.42532016311404
9,439.503205864619
10,281.2821404994102
11,454.1352239405798
12,206.78395844538187
13,684.7962798844999
14,210.7783424861658
15,250.16044779052837
16,629.3647115829868
17,211.39185335936895
18,542.8536070705267
19,203.84753811462235
20,349.71099582171234
21,534.080574698585
22,89.70561567681642
23,633.9059949455043
24,680.6418537990096
25,163.43192668215795
26,578.5788585208902
27,763.086442737779
28,673.6624152058839
29,326.0956483857894
30,485.5537814829268
31,138.2706795077639
32,421.7794349058477
33,601.7629986757371
34,744.2137897586845
35,643.713943284236
36,216.15587110106185
37,447.5023616340608
38,757.7766922510465
39,278.03345745224806
40,204.54865971831816
41,246.68350921485953
42,111.87524608161262
43,716.7416706288154
44,610.5508274266422
45,188.59060180014475
46,365.50467936647783
47,72.54027219937326
48,502.9271383547089
49,681.6602232914371
50,617.7260998096264
51,234.21846347694054
52,600.8598361331392
53,609.3986677383693
54,199.39897529554696
55,295.85204646269375
56,172.92040079724708
57,683.8029395426814
58,787.66147405113
59,355.3555900721221
60,595.0576934223633
61,620.1972137220743
62,649.8619348769021
63,399.0797950455701
64,181.05164748735388
65,367.6925458763268
66,339.79863982038086
67,173.35952504455847
68,329.11866475335046
69,566.6865678903231
70,261.63627002356645
71,216.63007394548583
72,722.1427751833085
73,189.0632849595143
74,572.4673023424284
75,675.7646108255203
76,346.47513009066427
77,249.5394582933534
78,151.79185524946922
79,194.97959898510874
80,204.20175595901716
81,591.3603229188591
82,193.4582491608945
83,356.71807171954384
84,349.69760181463255
85,779.857608688548
86,221.10773544161844
87,678.4419568300675
88,277.5119095930164
89,159.29095190941786
90,760.2353647591082
91,715.3463729578253
92,138.33070268249608
93,72.33542893401014
94,692.5639111752334
95,776.4959681929766
96,606.6287450722214
97,256.11461156355847
98,552.5868216681366
99,297.8899699916634
100,522.3880710107002
101,267.62753961233454
102,320.3259134509724
103,458.6936495118152
104,561.2855196353665
105,109.84449146837319
106,175.26517340208866
107,663.929705755137
108,184.3372351630755
109,210.6942388637927
110,659.1220387415257
111,419.10839646227845
112,274.4991669640498
113,276.9444551388974
114,137.10676176135863
115,608.1943926665919
116,511.8498539088131
117,809.8264773500209
118,371.6584169925853
119,595.4762658146002
120,574.3401158588998
121,722.0226958305578
122,666.2792775765278
123,559.2261453578079
124,441.4452392942117
125,661.5388802093307
126,428.0740277385997
127,555.7591729125795
128,634.9095403616595
129,516.4714467356652
130,468.85377799029
131,438.0186282879699
132,194.19464715106784
133,461.14224327021725
134,545.0453647962316
135,388.64597687222414
136,618.5726822187215
137,324.476041825028
138,559.6281976272203
139,747.7152922872078
140,534.9391581528822
